Usage ID,Usage Name,Usage Type,AT-101,PC-AT,Mac,Unix,Boot
72,Keyboard F23,Sel,,,,,
73,Keyboard F24,Sel,,,,,
74,Keyboard Execute,Sel,,,,3,
75,Keyboard Help,Sel,,,,3,
76,Keyboard Menu,Sel,,,,3,
77,Keyboard Select,Sel,,,,3,
78,Keyboard Stop,Sel,,,,3,
79,Keyboard Again,Sel,,,,3,
7A,Keyboard Undo,Sel,,,,3,
7B,Keyboard Cut,Sel,,,,3,
7C,Keyboard Copy,Sel,,,,3,
7D,Keyboard Paste,Sel,,,,3,
7E,Keyboard Find,Sel,,,,3,
7F,Keyboard Mute,Sel,,,,3,
80,Keyboard Volume Up,Sel,,,,3,
81,Keyboard Volume Down,Sel,,,,3,
82,Keyboard Locking Caps Lock12,Sel,,,,3,
83,Keyboard Locking Num Lock12,Sel,,,,3,
84,Keyboard Locking Scroll Lock12,Sel,,,,3,
85,Keypad Comma13,Sel,107,,,,
86,Keypad Equal Sign14,Sel,,,,3,
87,"Keyboard International115,16",Sel,56,,,,
88,Keyboard International217,Sel,,,,,
89,Keyboard International318,Sel,,,,,
8A,Keyboard International419,Sel,,,,,
8B,Keyboard International520,Sel,,,,,
8C,Keyboard International621,Sel,,,,,
8D,Keyboard International722,Sel,,,,,
8E,Keyboard International823,Sel,,,,,
8F,Keyboard International923,Sel,,,,,
90,Keyboard LANG124,Sel,,,,,
91,Keyboard LANG225,Sel,,,,,
92,Keyboard LANG326,Sel,,,,,
93,Keyboard LANG427,Sel,,,,,
94,Keyboard LANG528,Sel,,,,,
95,Keyboard LANG629,Sel,,,,,
96,Keyboard LANG729,Sel,,,,,
97,Keyboard LANG829,Sel,,,,,
98,Keyboard LANG929,Sel,,,,,
99,Keyboard Alternate Erase30,Sel,,,,,
9A,Keyboard SysReq/Attention7,Sel,,,,,
9B,Keyboard Cancel,Sel,,,,,
9C,Keyboard Clear,Sel,,,,,
9D,Keyboard Prior,Sel,,,,,
9E,Keyboard Return,Sel,,,,,
9F,Keyboard Separator,Sel,,,,,
A0,Keyboard Out,Sel,,,,,
A1,Keyboard Oper,Sel,,,,,
A2,Keyboard Clear/Again,Sel,,,,,
A3,Keyboard CrSel/Props,Sel,,,,,
A4,Keyboard ExSel,Sel,,,,,
A5,Reserved,,,,,,
A6,Reserved,,,,,,
A7,Reserved,,,,,,
A8,Reserved,,,,,,
A9,Reserved,,,,,,
AA,Reserved,,,,,,
AB,Reserved,,,,,,
AC,Reserved,,,,,,
AD,Reserved,,,,,,
AF,Reserved,,,,,,
B0,Keypad 00,Sel,,,,,
B1,Keypad 000,Sel,,,,,
B2,Thousands Separator31,Sel,,,,,
B3,Decimal Separator31,Sel,,,,,
B4,Currency Unit32,Sel,,,,,
B5,Currency Sub-unit32,Sel,,,,,
B6,Keypad (,Sel,,,,,
B7,Keypad ),Sel,,,,,
B8,Keypad {,Sel,,,,,
B9,Keypad },Sel,,,,,
BA,Keypad Tab,Sel,,,,,
BB,Keypad Backspace,Sel,,,,,
BC,Keypad A,Sel,,,,,
BD,Keypad B,Sel,,,,,
BE,Keypad C,Sel,,,,,
BF,Keypad D,Sel,,,,,
C0,Keypad E,Sel,,,,,
C1,Keypad F,Sel,,,,,
C2,Keypad XOR,Sel,,,,,
C3,Keypad ∧,Sel,,,,,
C4,Keypad %,Sel,,,,,
C5,Keypad <,Sel,,,,,
C6,Keypad >,Sel,,,,,
C7,Keypad &,Sel,,,,,
C8,Keypad &&,Sel,,,,,
C9,Keypad |,Sel,,,,,
CA,Keypad ||,Sel,,,,,
CB,Keypad :,Sel,,,,,
CC,Keypad #,Sel,,,,,
CD,Keypad Space,Sel,,,,,
CE,Keypad @,Sel,,,,,
CF,Keypad !,Sel,,,,,
D0,Keypad Memory Store,Sel,,,,,
D1,Keypad Memory Recall,Sel,,,,,
D2,Keypad Memory Clear,Sel,,,,,
D3,Keypad Memory Add,Sel,,,,,
D4,Keypad Memory Subtract,Sel,,,,,
D5,Keypad Memory Multiply,Sel,,,,,
D6,Keypad Memory Divide,Sel,,,,,
D7,Keypad +/-,Sel,,,,,
D8,Keypad Clear,Sel,,,,,
D9,Keypad Clear Entry,Sel,,,,,
DA,Keypad Binary,Sel,,,,,
DB,Keypad Octal,Sel,,,,,
DC,Keypad Decimal,Sel,,,,,
DD,Keypad Hexadecimal,Sel,,,,,
DE,Reserved,,,,,,
DF,Reserved,,,,,,
E0,Keyboard LeftControl,DV,58,3,3,3,4/101/104
E1,Keyboard LeftShift,DV,44,3,3,3,4/101/104
E2,Keyboard LeftAlt,DV,60,3,3,3,4/101/104
E3,"Keyboard Left GUI11,33",DV,127,3,3,3,104
E4,Keyboard RightControl,DV,64,3,3,3,101/104
E5,Keyboard RightShift,DV,57,3,3,3,4/101/104
E6,Keyboard RightAlt,DV,62,3,3,3,101/104
E7,"Keyboard Right GUI11,34",DV,128,3,3,3,104
E8,Reserved,,,,,,
E9,Reserved,,,,,,
EA,Reserved,,,,,,
EB,Reserved,,,,,,
EC,Reserved,,,,,,
ED,Reserved,,,,,,
ED,Reserved,,,,,,
EF,Reserved,,,,,,
F0,Reserved,,,,,,
F1,Reserved,,,,,,
F2,Reserved,,,,,,
F3,Reserved,,,,,,
F4,Reserved,,,,,,
F5,Reserved,,,,,,
F6,Reserved,,,,,,
F7,Reserved,,,,,,
F8,Reserved,,,,,,
F9,Reserved,,,,,,
FA,Reserved,,,,,,
FB,Reserved,,,,,,
FC,Reserved,,,,,,
FD,Reserved,,,,,,
FE,Reserved,,,,,,
FF,Reserved,,,,,,
